,adresses,lat,long
0,2153 New South Wales Australia,-33.7613862,150.9889238
1,2155 New South Wales Australia,-33.6880666,150.9423702
2,2166 New South Wales Australia,-33.8961316,150.9365521
3,2170 New South Wales Australia,-33.9477825,150.9190988
4,4300 Queensland Australia,-27.6453606,152.908824
5,2145 New South Wales Australia,-33.8173961,150.9481887
6,3977 Victoria Australia,-38.1347885,145.2811778
7,2759 New South Wales Australia,-33.8060826,150.7853574
8,2065 New South Wales Australia,-33.8269489,151.195674
9,2261 New South Wales Australia,-33.3603327,151.4318742
10,2567 New South Wales Australia,-34.048387,150.7562989
11,2148 New South Wales Australia,-33.7849921,150.9016476
12,2099 New South Wales Australia,-33.7500081,151.2860306
13,2075 New South Wales Australia,-33.7204426,151.1694511
14,2763 New South Wales Australia,-33.7206583,150.8900145
15,4350 Queensland Australia,-27.5564884,151.9533185
16,2770 New South Wales Australia,-33.7610185,150.8086082
17,2760 New South Wales Australia,-33.7520107,150.7737333
18,2147 New South Wales Australia,-33.7632936,150.9365521
19,2880 New South Wales Australia,-30.5512963,141.6834275
20,2160 New South Wales Australia,-33.8365794,150.9831038
21,2250 New South Wales Australia,-33.3502247,151.1869325
22,2340 New South Wales Australia,-31.2814691,151.0471355
23,4118 Queensland Australia,-27.6749806,153.0500809
24,2761 New South Wales Australia,-33.7393563,150.8434913
25,2768 New South Wales Australia,-33.7278158,150.9278252
26,4226 Queensland Australia,-28.0648601,153.3859379
27,2093 New South Wales Australia,-33.8055737,151.2627078
28,2233 New South Wales Australia,-34.1193032,151.0704263
29,2287 New South Wales Australia,-32.9018298,151.6654939
30,4503 Queensland Australia,-27.2508424,152.9926352
31,2428 New South Wales Australia,-32.2735633,152.4738975
32,4034 Queensland Australia,-27.3645676,153.0441933
33,2066 New South Wales Australia,-33.8126017,151.1694511
34,4740 Queensland Australia,-21.1499948,149.1271385
35,2154 New South Wales Australia,-33.7270691,150.9947439
36,2750 New South Wales Australia,-33.744767,150.6865817
37,2100 New South Wales Australia,-33.76459790000001,151.2627078
38,2560 New South Wales Australia,-34.2364674,150.8144215
39,2450 New South Wales Australia,-30.16526,152.9676695
40,4551 Queensland Australia,-26.7977396,153.1359352
41,3046 Victoria Australia,-37.7044261,144.9336544
42,4701 Queensland Australia,-23.3500536,150.5501151
43,2216 New South Wales Australia,-33.9531396,151.1490585
44,2026 New South Wales Australia,-33.8922511,151.2714535
45,2756 New South Wales Australia,-33.3137032,150.7214362
46,2176 New South Wales Australia,-33.8709405,150.8783824
47,3121 Victoria Australia,-37.8203499,144.9997396
48,4014 Queensland Australia,-27.3743379,153.0912986
49,2126 New South Wales Australia,-33.72874669999999,151.0413133
50,4209 Queensland Australia,-27.852293,153.2992885
51,2570 New South Wales Australia,-34.0252949,150.6285091
52,3043 Victoria Australia,-37.7044206,144.8786231
53,4055 Queensland Australia,-27.3901209,152.9323602
54,4670 Queensland Australia,-24.8822309,152.3593807
55,3677 Victoria Australia,-36.3742363,146.3264849
56,2036 New South Wales Australia,-33.9735997,151.2393885
57,4165 Queensland Australia,-27.5833177,153.2999867
58,2323 New South Wales Australia,-32.9103365,151.4902483
59,3150 Victoria Australia,-37.8921876,145.1706992
60,2200 New South Wales Australia,-33.9200458,151.0296696
61,2747 New South Wales Australia,-33.7568098,150.7330562
62,2259 New South Wales Australia,-33.2059456,151.3501856
63,3175 Victoria Australia,-38.0191689,145.2148736
64,4152 Queensland Australia,-27.5070527,153.1030766
65,4213 Queensland Australia,-28.142191,153.3347271
66,2077 New South Wales Australia,-33.6924088,151.0995447
67,4702 Queensland Australia,-23.6457869,149.3303348
68,3630 Victoria Australia,-36.4615673,145.5579927
69,3064 Victoria Australia,-37.5424079,144.9391595
70,2168 New South Wales Australia,-33.9117729,150.8783824
71,4053 Queensland Australia,-27.3957404,152.9853264
72,2118 New South Wales Australia,-33.7799114,151.0413133
73,4305 Queensland Australia,-27.6372514,152.7676633
74,2211 New South Wales Australia,-33.9608964,151.0296696
75,4306 Queensland Australia,-27.5224191,152.6853649
76,2204 New South Wales Australia,-33.9086291,151.1548847
77,2767 New South Wales Australia,-33.7585633,150.8783824
78,4017 Queensland Australia,-27.3190241,153.0339889
79,3195 Victoria Australia,-38.0005492,145.1044805
80,4220 Queensland Australia,-28.0963527,153.4331163
81,2234 New South Wales Australia,-34.0161592,151.006385
82,4870 Queensland Australia,-16.918648,145.7405497
83,2230 New South Wales Australia,-34.0621862,151.1461455
84,4217 Queensland Australia,-28.004695,153.4095259
85,2165 New South Wales Australia,-33.8702903,150.9452794
86,4215 Queensland Australia,-27.965505,153.4036287
87,3156 Victoria Australia,-37.9368007,145.3032906
88,2096 New South Wales Australia,-33.7738038,151.2889461
89,2217 New South Wales Australia,-33.9757081,151.1374068
90,2830 New South Wales Australia,-32.1754247,148.6001005
91,2047 New South Wales Australia,-33.8523805,151.1548847
92,2226 New South Wales Australia,-34.0106901,151.0646032
93,2040 New South Wales Australia,-33.8779521,151.1548847
94,3806 Victoria Australia            35,-38.0264207,145.3475331
95,2164 New South Wales Australia     35,-33.8492918,150.9132815
96,3082 Victoria Australia,-37.6649616,145.0658766
97,2530 New South Wales Australia,-34.5227686,150.7446771
98,2073 New South Wales Australia,-33.7627554,151.134494
99,4127 Queensland Australia,-27.629563,153.1443045
100,2120 New South Wales Australia,-33.7274311,151.0762495
101,2190 New South Wales Australia,-33.90558,151.0529578
102,4178 Queensland Australia,-27.4437553,153.17369
103,2142 New South Wales Australia,-33.8323277,151.006385
104,2203 New South Wales Australia,-33.9041707,151.1374068
105,3130 Victoria Australia,-37.8258214,145.1541397
106,3350 Victoria Australia,-37.5691087,143.8563224
107,4035 Queensland Australia,-27.3565346,152.9794406
108,3136 Victoria Australia,-37.7983502,145.2811778
109,2150 New South Wales Australia,-33.8151823,151.0092954
110,2566 New South Wales Australia,-34.0317453,150.8493059
111,4825 Queensland Australia,-20.6905688,138.3988186
112,4211 Queensland Australia,-27.995579,153.3222261
113,3810 Victoria Australia,-38.0578366,145.4693163
114,2527 New South Wales Australia,-34.5764532,150.7562989
115,2745 New South Wales Australia,-33.8479652,150.6517354
116,3149 Victoria Australia,-37.8772869,145.1265477
117,2285 New South Wales Australia,-32.9110348,151.6187438
118,2010 New South Wales Australia,-33.8851098,151.2140673
119,4500 Queensland Australia,-27.3033237,152.9323602
120,2304 New South Wales Australia,-32.877603,151.7356433
121,3188 Victoria Australia,-37.93940310000001,145.0135139
122,2138 New South Wales Australia,-33.8462611,151.0908086
123,4132 Queensland Australia,-27.6781718,153.0912986
124,2119 New South Wales Australia,-33.7551665,151.0646032
125,4655 Queensland Australia,-25.2965245,152.8235456
126,3111 Victoria Australia,-37.7901921,145.1872619
127,2320 New South Wales Australia,-32.7147232,151.5369624
128,2251 New South Wales Australia,-33.4721323,151.38519
129,2021 New South Wales Australia,-31.2532183,146.921099
130,2117 New South Wales Australia,-33.7973906,151.0296696
131,4869 Queensland Australia,-17.0187557,145.7448496
132,2000 New South Wales Australia,-33.8708464,151.20733
133,2112 New South Wales Australia,-33.807991,151.1111936
134,2031 New South Wales Australia,-33.9122447,151.2393885
135,2196 New South Wales Australia,-33.92931310000001,151.0558691
136,4210 Queensland Australia,-27.9336003,153.2805288
137,2137 New South Wales Australia,-33.8543494,151.1024569
138,4570 Queensland Australia,-26.1882554,152.6705427
139,2016 New South Wales Australia,-33.892215,151.205873
140,2650 New South Wales Australia,-35.283152,147.4174803
141,4818 Queensland Australia,-19.2049974,146.5168094
142,2580 New South Wales Australia,-34.7206289,149.7487272
143,2220 New South Wales Australia,-33.9583688,151.0995447
144,3015 Victoria Australia,-37.83520970000001,144.8786231
145,2068 New South Wales Australia,-33.7992003,151.20733
146,2076 New South Wales Australia,-33.7085861,151.1228434
147,2089 New South Wales Australia,-33.8379923,151.2189869
148,3023 Victoria Australia,-37.7687064,144.7521888
149,2753 New South Wales Australia,-33.6149421,150.6981989
150,2032 New South Wales Australia,-33.9279209,151.2306446
151,2322 New South Wales Australia,-32.8189255,151.6654939
152,3028 Victoria Australia,-37.87603989999999,144.7796581
153,2177 New South Wales Australia,-33.8946607,150.8812903
154,3029 Victoria Australia,-37.8282806,144.7082568
155,2199 New South Wales Australia,-33.9050378,151.0209375
156,2210 New South Wales Australia,-33.9566557,151.0529578
157,3071 Victoria Australia,-37.7600493,145.0080039
158,3024 Victoria Australia,-37.8706337,144.5875645
159,2017 New South Wales Australia,-33.9015357,151.20733
160,2260 New South Wales Australia,-33.4287117,151.4377107
161,2018 New South Wales Australia,-33.9219899,151.20733
162,3337 Victoria Australia,-37.6095412,144.5875645
163,2227 New South Wales Australia,-34.043981,151.0849848
164,3020 Victoria Australia,-37.7791149,144.823628
165,2766 New South Wales Australia,-33.8072744,150.8493059
166,3048 Victoria Australia,-37.6539007,144.9226452
167,2333 New South Wales Australia,-32.2415573,150.7214362
168,4510 Queensland Australia,-27.0796844,152.9518951
169,3500 Victoria Australia,-34.2151229,142.1169401
170,2101 New South Wales Australia,-33.6891976,151.2685382
171,4680 Queensland Australia,-23.8783576,151.2463137
172,3076 Victoria Australia,-37.6341341,145.016269
173,2144 New South Wales Australia,-33.8485157,151.0296696
174,3174 Victoria Australia,-37.9641212,145.1762197
175,3037 Victoria Australia,-37.69400359999999,144.7521888
176,3191 Victoria Australia,-37.9533967,145.0135139
177,2171 New South Wales Australia,-33.9333763,150.8434913
178,2222 New South Wales Australia,-33.9623045,151.0849848
179,4405 Queensland Australia,-27.1944148,151.2660028
180,2090 New South Wales Australia,-33.8283272,151.2262729
181,3143 Victoria Australia,-37.857253,145.0190242
182,4221 Queensland Australia,-28.1288855,153.4543191
183,3070 Victoria Australia,-37.7736132,144.9997396
184,4413 Queensland Australia,-26.3724452,150.7679216
185,3141 Victoria Australia,-37.838568,144.9914761
186,2769 New South Wales Australia,-33.7031923,150.9016476
187,4161 Queensland Australia,-27.522958,153.220588
188,2102 New South Wales Australia,-33.6881414,151.2947775
189,3805 Victoria Australia,-38.0302499,145.3032906
190,3170 Victoria Australia,-37.9267579,145.1762197
191,2749 New South Wales Australia,-33.7039148,150.6865817
192,3690 Victoria Australia,-36.1118041,146.8423556
193,3127 Victoria Australia,-37.8259003,145.0989646
194,3058 Victoria Australia,-37.7343488,144.9666905
195,3429 Victoria Australia,-37.5424727,144.7192376
196,4820 Queensland Australia,-20.0762578,146.2585756
197,4012 Queensland Australia,-27.3930139,153.0479657
198,3910 Victoria Australia,-38.1608986,145.1927835
199,3030 Victoria Australia,-37.938058,144.6753231
200,4078 Queensland Australia,-27.6185546,152.9617842
201,2173 New South Wales Australia,-34.0425826,150.9307341
202,4123 Queensland Australia,-27.5812621,153.1207447
203,2207 New South Wales Australia,-33.9541086,151.1228434
204,2069 New South Wales Australia,-33.7808794,151.195674
205,2095 New South Wales Australia,-33.8060158,151.2947775
206,3183 Victoria Australia,-37.8670566,144.9997396
207,3012 Victoria Australia,-37.8146251,144.8456217
208,3101 Victoria Australia,-37.80351599999999,145.0328017
209,2015 New South Wales Australia,-33.9087966,151.195674
210,3199 Victoria Australia,-38.1645944,145.1486206
211,2023 New South Wales Australia,-33.8826955,151.2539627
212,2121 New South Wales Australia,-33.7716764,151.0791612
213,3074 Victoria Australia,-37.6837819,145.0107588
214,2540 New South Wales Australia,-35.1516626,150.5976674
215,2480 New South Wales Australia,-28.7665066,153.250355
216,4207 Queensland Australia,-27.7319516,153.2061661
217,3207 Victoria Australia,-37.8315264,144.9226452
218,3198 Victoria Australia,-38.1021858,145.1431018
219,3976 Victoria Australia,-38.0349647,145.2756505
220,4214 Queensland Australia,-27.9623616,153.3623524
221,3196 Victoria Australia,-38.048116,145.1210303
222,2444 New South Wales Australia,-31.392698,152.8499952
223,2265 New South Wales Australia,-33.0641471,151.4435474
224,4509 Queensland Australia,-27.2360306,153.0265315
225,3172 Victoria Australia,-37.9772192,145.1320653
226,2097 New South Wales Australia,-33.734283,151.2947775
227,3218 Victoria Australia,-38.1180538,144.2047333
228,2765 New South Wales Australia,-33.6496795,150.8725666
229,4507 Queensland Australia,-26.9861003,153.1325243
230,3145 Victoria Australia,-37.8763981,145.0548502
231,2067 New South Wales Australia,-33.7969122,151.1781916
232,4511 Queensland Australia,-27.066757,153.0834039
233,2125 New South Wales Australia,-33.7462388,151.0296696
234,2193 New South Wales Australia,-33.909932,151.1199309
235,3185 Victoria Australia,-37.8862009,145.0080039
236,3140 Victoria Australia,-37.7643547,145.3475331
237,2088 New South Wales Australia,-33.8303776,151.2393885
238,2113 New South Wales Australia,-33.7934648,151.134494
239,2074 New South Wales Australia,-33.6867425,151.1577979
240,3620 Victoria Australia,-36.2508546,145.093449
241,3204 Victoria Australia,-37.9193526,145.0438252
242,2027 New South Wales Australia,-33.87222879999999,151.2379312
243,3083 Victoria Australia,-37.6987006,145.0548502
244,3152 Victoria Australia,-37.8668518,145.220397
245,2263 New South Wales Australia,-33.2504355,151.5077645
246,3138 Victoria Australia,-37.7822365,145.3309395
247,3197 Victoria Australia,-38.0742262,145.1431018
248,3355 Victoria Australia,-37.5089149,143.7911684
249,2777 New South Wales Australia,-33.6858294,150.6168974
250,3147 Victoria Australia,-37.8675054,145.0906914
251,3757 Victoria Australia,-37.4666309,145.1596592
252,3181 Victoria Australia,-37.8544481,144.996985
253,3205 Victoria Australia,-37.8338889,144.963937
254,2197 New South Wales Australia,-33.8990652,150.9976541
255,2519 New South Wales Australia,-34.3902523,150.8783824
256,3025 Victoria Australia,-37.8388686,144.8346241
257,3437 Victoria Australia,-37.5197014,144.5437205
258,3021 Victoria Australia,-37.7435941,144.8016402
259,2041 New South Wales Australia,-33.8583166,151.1781916
260,2029 New South Wales Australia,-33.8754209,151.265623
261,4151 Queensland Australia,-27.5009968,153.0619877
262,2579 New South Wales Australia,-34.7125661,150.1647697
263,3040 Victoria Australia,-37.7493029,144.9006313
264,3201 Victoria Australia,-38.0975353,145.1706992
265,4114 Queensland Australia,-27.6372491,153.1030766
266,2573 New South Wales Australia,-34.233219,150.587872
267,2212 New South Wales Australia,-33.9495044,151.0151163
268,4504 Queensland Australia,-27.2015813,152.9655318
269,3124 Victoria Australia,-37.83340949999999,145.0658766
270,3068 Victoria Australia,-37.7885749,144.9887218
271,2795 New South Wales Australia,-33.5390607,149.5642369
272,2548 New South Wales Australia,-36.8301133,149.8757147
273,4218 Queensland Australia,-28.0396814,153.4213208
274,2557 New South Wales Australia,-33.9968842,150.7737333
275,4227 Queensland Australia,-28.110678,153.3977316
276,2800 New South Wales Australia,-33.2792017,149.0582632
277,2122 New South Wales Australia,-33.7863691,151.0966326
278,4301 Queensland Australia,-27.628802,152.8558773
279,2135 New South Wales Australia,-33.8808808,151.0762495
280,4116 Queensland Australia,-27.6238851,153.0499871
281,4817 Queensland Australia,-19.3321474,146.6060735
282,4560 Queensland Australia,-26.6077924,152.9323602
283,2640 New South Wales Australia,-35.9976838,147.259277
284,2525 New South Wales Australia,-34.4319396,150.8434913
285,3109 Victoria Australia,-37.7883929,145.1541397
286,4216 Queensland Australia,-27.9004034,153.4036287
287,4105 Queensland Australia,-27.535027,153.0259992
288,3107 Victoria Australia,-37.7641408,145.1099967
289,2528 New South Wales Australia,-34.5566631,150.8551207
290,2009 New South Wales Australia,-33.8687895,151.1942171
291,2033 New South Wales Australia,-33.9096151,151.2189869
292,4005 Queensland Australia,-27.4655769,153.0471371
293,2127 New South Wales Australia,-33.840308,151.0675147
294,3752 Victoria Australia,-37.6377485,145.082419
295,4573 Queensland Australia,-26.5394151,153.0879644
296,4304 Queensland Australia,-27.6080535,152.8088251
297,4370 Queensland Australia,-28.215734,152.0281585
298,2223 New South Wales Australia,-33.9830462,151.0762495
299,3108 Victoria Australia,-37.7865824,145.1210303
300,4179 Queensland Australia,-27.4666718,153.1833308
301,4556 Queensland Australia,-26.6971583,153.0500809
302,2151 New South Wales Australia,-33.77395370000001,151.0180269
303,4019 Queensland Australia,-27.2439947,153.0912986
304,3008 Victoria Australia,-37.8170652,144.9419122
305,2072 New South Wales Australia,-33.7551473,151.1548847
306,2300 New South Wales Australia,-32.9272155,151.7795013
307,3182 Victoria Australia,-37.8595773,144.9777054
308,2295 New South Wales Australia,-32.8674273,151.7999723
309,3155 Victoria Australia,-37.8610682,145.2867055
310,2870 New South Wales Australia,-33.0218853,148.2804541
311,3338 Victoria Australia,-37.7810237,144.5437205
312,3146 Victoria Australia,-37.8577136,145.0548502
313,3551 Victoria Australia,-36.8021738,144.4779988
314,2086 New South Wales Australia,-33.7473073,151.2248157
315,2284 New South Wales Australia,-32.9524472,151.6187438
316,2871 New South Wales Australia,-33.5103372,147.7346113
317,4205 Queensland Australia,-27.6895821,153.1590306
318,3184 Victoria Australia,-37.878722,144.9859676
319,2030 New South Wales Australia,-33.8579067,151.2772841
320,2214 New South Wales Australia,-33.9405364,150.9801939
321,3352 Victoria Australia,-37.7122033,143.8671868
322,4070 Queensland Australia,-27.5554476,152.8676421
323,2710 New South Wales Australia,-35.247342,144.9611836
324,2213 New South Wales Australia,-33.9519315,150.9947439
325,2630 New South Wales Australia,-36.3150116,149.1960526
326,3000 Victoria Australia,-37.8152065,144.963937
327,2330 New South Wales Australia,-32.7319195,150.8609358
328,3163 Victoria Australia,-37.8950779,145.0548502
329,2324 New South Wales Australia,-32.6400424,151.9111422
330,2290 New South Wales Australia,-32.9754667,151.712257
331,2536 New South Wales Australia,-35.6491178,150.0722053
332,3084 Victoria Australia,-37.7436031,145.0769045
333,3166 Victoria Australia,-37.9006677,145.0989646
334,3756 Victoria Australia,-37.40715489999999,144.9832134
335,3222 Victoria Australia,-38.2049453,144.5875645
336,4115 Queensland Australia,-27.6113884,153.0336149
337,2208 New South Wales Australia,-33.9379361,151.0995447
338,2541 New South Wales Australia,-34.8772295,150.5936766
339,2192 New South Wales Australia,-33.9178204,151.0908086
340,4868 Queensland Australia,-16.9678678,145.7464633
341,2224 New South Wales Australia,-34.0094315,151.0995447
342,3280 Victoria Australia,-38.3603292,142.4678659
343,3162 Victoria Australia,-37.8932076,145.0217795
344,2043 New South Wales Australia,-33.90236489999999,151.1854757
345,2280 New South Wales Australia,-33.0223311,151.6713386
346,3219 Victoria Australia,-38.176358,144.3849841
347,2515 New South Wales Australia,-34.295339,150.933643
348,4075 Queensland Australia,-27.5443032,152.9823847
349,3186 Victoria Australia,-37.9044002,144.9997396
350,3564 Victoria Australia,-36.1149809,144.6314321
351,4121 Queensland Australia,-27.5223127,153.0589533
352,2539 New South Wales Australia,-35.3536829,150.2342337
353,4170 Queensland Australia,-27.4620175,153.0750052
354,3072 Victoria Australia,-37.7399362,145.0107588
355,2762 New South Wales Australia,-33.7044482,150.8667511
356,2484 New South Wales Australia,-28.3541283,153.3446649
357,3380 Victoria Australia,-37.05177690000001,142.7777088
358,4069 Queensland Australia,-27.5020161,152.8970569
359,2282 New South Wales Australia,-32.9648241,151.6479611
360,4074 Queensland Australia,-27.5569601,152.9264759
361,2460 New South Wales Australia,-29.6427683,152.7323884
362,2141 New South Wales Australia,-33.8719405,151.0413133
363,3931 Victoria Australia,-38.2277083,145.0603633
364,3165 Victoria Australia,-37.9174873,145.0658766
365,2037 New South Wales Australia,-33.8802599,151.1840188
366,3340 Victoria Australia,-37.7356162,144.4123303
367,3075 Victoria Australia,-37.6650543,145.0107588
368,3057 Victoria Australia,-37.769412,144.9804594
369,3444 Victoria Australia,-37.1335012,144.5656396
370,4352 Queensland Australia,-27.4595003,151.9470976
371,2326 New South Wales Australia,-32.787791,151.4552213
372,4020 Queensland Australia,-27.2171518,153.1060212
373,2064 New South Wales Australia,-33.8086312,151.1840188
374,2576 New South Wales Australia,-34.5304441,150.4660289
375,3802 Victoria Australia,-37.9780214,145.2590707
376,2477 New South Wales Australia,-28.9094612,153.4154233
377,2062 New South Wales Australia,-33.8228068,151.2146155
378,4018 Queensland Australia,-27.3428542,153.0441933
